,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
88,castro,-24.79,-50.01,63.73,91,0,4.0,BR,1605408427
89,zambezi,-13.54,23.1,62.6,89,28,2.71,ZM,1605408427
90,itarema,-2.92,-39.92,80.51,79,26,15.46,BR,1605408427
91,sfantu gheorghe,45.87,25.78,39.0,87,1,0.27,RO,1605408224
92,bolshaya glushitsa,50.24,43.59,33.01,86,100,1.99,RU,1605408428
93,okakarara,-20.58,17.43,69.42,65,100,3.67,NA,1605408428
94,mandalgovi,45.76,106.27,29.3,87,62,9.66,MN,1605408428
95,vardo,70.37,31.11,41.04,80,85,30.29,NO,1605408429
96,mareeba,-17.0,145.43,90.0,58,0,9.17,AU,1605408429
97,yarmouth,41.71,-70.23,46.99,60,20,4.7,US,1605408429
98,sao jose da coroa grande,-8.9,-35.15,77.14,83,1,7.99,BR,1605408430
99,carutapera,-1.2,-46.02,79.54,83,45,7.52,BR,1605408430
100,hobbs,32.7,-103.14,62.01,15,1,17.22,US,1605408350
101,qaqortoq,60.72,-46.03,14.0,61,0,9.17,GL,1605408430
102,touros,-5.2,-35.46,77.0,88,40,4.7,BR,1605408292
103,pisco,-13.7,-76.22,64.4,88,90,12.75,PE,1605408431
104,guerrero negro,27.98,-114.06,63.19,87,0,9.17,MX,1605408431
105,kodiak,57.79,-152.41,33.8,59,1,8.99,US,1605408406
106,husavik,66.04,-17.34,32.0,97,90,4.7,IS,1605408432
107,sur,22.57,59.53,77.09,71,6,9.24,OM,1605408432
108,goma,-1.68,29.22,61.86,80,50,4.14,CD,1605408432
109,busselton,-33.65,115.33,62.01,60,79,3.0,AU,1605408433
110,ponta do sol,32.67,-17.1,71.6,88,75,8.05,PT,1605408433
111,nizhnevartovsk,60.93,76.55,-0.4,84,90,6.71,RU,1605408434
112,ulaangom,49.98,92.07,27.48,88,100,1.66,MN,1605408434
113,rapid city,44.08,-103.23,36.0,55,20,33.33,US,1605408434
114,brae,60.4,-1.35,51.8,93,100,19.46,GB,1605408434
115,shimoda,34.67,138.95,64.4,59,20,4.7,JP,1605408435
116,yellowknife,62.46,-114.35,3.2,84,90,8.05,CA,1605408371
117,thompson,55.74,-97.86,15.8,85,90,13.87,CA,1605408435
118,cidreira,-30.18,-50.21,71.38,86,25,17.25,BR,1605408435
119,dublin,37.7,-121.94,55.4,81,1,4.7,US,1605408155
120,dikson,73.51,80.55,23.99,97,100,8.23,RU,1605408436
121,sept-iles,50.2,-66.38,32.0,98,99,5.82,CA,1605408305
122,saint-georges,12.06,-61.75,78.8,88,20,9.66,GD,1605408437
123,tuktoyaktuk,69.45,-133.04,14.0,85,90,23.04,CA,1605408437
124,kuminskiy,58.67,66.57,6.03,93,98,7.94,RU,1605408437
125,saint anthony,45.02,-93.22,36.0,93,90,3.04,US,1605408438
126,santa rosa,14.31,121.11,91.99,66,20,5.82,PH,1605408414
127,ancud,-41.87,-73.82,45.0,81,40,4.7,CL,1605408202
128,acari,-15.43,-74.62,63.82,71,65,3.31,PE,1605408439
129,port elizabeth,-33.92,25.57,62.6,88,75,9.17,ZA,1605408439
130,paamiut,61.99,-49.67,22.15,78,0,27.65,GL,1605408439
131,san patricio,28.02,-97.52,77.0,83,20,19.46,US,1605408439
132,broken hill,-31.95,141.43,100.4,8,55,24.16,AU,1605408440
133,boysun,38.21,67.2,28.36,86,0,1.32,UZ,1605408440
134,geraldton,-28.77,114.6,68.0,42,75,11.41,AU,1605408441
135,tasiilaq,65.61,-37.64,20.37,96,100,8.08,GL,1605408441
136,iquique,-20.22,-70.14,64.4,68,90,9.17,CL,1605408183
137,aksarka,66.56,67.8,5.49,91,100,12.5,RU,1605408442
138,tuatapere,-46.13,167.68,73.99,57,100,1.01,NZ,1605408442
139,jalu,29.03,21.55,57.85,68,0,6.11,LY,1605408442
140,port-gentil,-0.72,8.78,79.92,80,97,8.95,GA,1605408443
141,pangnirtung,66.15,-65.71,10.13,90,100,2.28,CA,1605408443
142,bredasdorp,-34.53,20.04,57.2,82,30,3.36,ZA,1605408443
143,lata,40.16,-8.33,64.0,92,100,5.75,PT,1605408443
144,lebu,-37.62,-73.65,51.71,75,32,18.57,CL,1605408444
145,sitka,57.05,-135.33,37.4,86,75,5.75,US,1605408444
146,east london,-33.02,27.91,65.41,73,39,2.13,ZA,1605408445
147,chuy,-33.7,-53.46,66.04,92,100,4.88,UY,1605408445
148,severo-kurilsk,50.68,156.12,36.73,87,96,21.56,RU,1605408445
149,corinto,37.94,22.96,53.01,64,1,3.0,GR,1605408445
150,ojinaga,29.57,-104.42,66.2,25,1,4.7,MX,1605408446
151,rocky mountain house,52.37,-114.92,19.4,92,0,4.7,CA,1605408446
152,kapaa,22.08,-159.32,80.6,69,1,11.41,US,1605408446
153,nalut,30.33,10.85,54.36,51,25,8.46,LY,1605408447
154,keflavik,64.0,-22.56,32.0,84,75,8.05,IS,1605408447
155,srikakulam,18.3,83.9,79.18,62,0,8.23,IN,1605408372
156,batagay-alyta,67.8,130.41,-1.28,87,80,1.16,RU,1605408447
157,nanortalik,60.14,-45.24,22.3,83,0,6.67,GL,1605408448
158,mama,58.31,112.9,15.57,91,100,4.41,RU,1605408448
159,kaliua,-5.06,31.79,66.36,96,100,3.49,TZ,1605408448
160,lulea,65.58,22.15,42.8,93,99,14.99,SE,1605408448
161,salalah,17.02,54.09,71.6,53,0,4.7,OM,1605408449
162,port alfred,-33.59,26.89,61.66,86,13,7.23,ZA,1605408423
163,hithadhoo,-0.6,73.08,83.3,75,100,18.3,MV,1605408449
164,yumen,40.28,97.2,38.86,71,35,15.9,CN,1605408449
165,palmer,42.16,-72.33,28.99,92,20,2.15,US,1605408450
166,moravsky krumlov,49.05,16.31,41.0,100,90,6.93,CZ,1605408450
167,carnarvon,-24.87,113.63,75.2,47,90,16.11,AU,1605408450
168,westport,41.14,-73.36,42.8,56,1,5.82,US,1605408451
169,chavakkad,10.53,76.05,78.8,88,40,5.82,IN,1605408451
170,yeppoon,-23.13,150.73,93.2,44,0,5.82,AU,1605408451
171,zdvinsk,54.7,78.66,22.96,92,94,6.51,RU,1605408452
172,whyalla,-33.03,137.58,102.2,10,90,29.97,AU,1605408452
173,caraballeda,10.61,-66.85,78.8,69,90,8.05,VE,1605408452
